Date,Price
2023-07-08,30333.26099999996
2023-07-09,30374.483999999968
2023-07-10,30366.683999999972
2023-07-11,30347.515999999974
2023-07-12,30344.306999999975
2023-07-13,30320.72299999998
2023-07-14,30320.72299999998
